原作,子母沢寛,Original Story,Kan Shimozawa
企画/脚本,浅井昭三郎,Planning/Screenplay,Shozaburo Asai
,,,
撮影,本多省三,Photography,Shozo Honda
録音,長岡栄,Sound,Sakae Nagaoka
照明,加藤博也,Lighting,Hiroya Kato
美術,加藤茂,Art,Shigeru Kato
音楽,小杉太一郎,Music,Taichiro Kosugi
,,,
編集,山田弘,Editor,Hiroshi Yamada
装置,木村重雄,Apparatus,Shigeo Kimura
擬斗,宮内昌平,Action,Shohei Miyauchi
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,渡辺実,Assistant Director,Minoru Watanabe
製作主任,今村喬,Production Manager,Takashi Imamura
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,高田美和,,Miwa Takada
,滝瑛子,,Eiko Taki
,,,
,平幹二朗,,Mikijiro Hira
,河野秋武,,Akitake Kono
,伊井友三郎,,Tomosaburo Ii
,水原浩一,,Koichi Mizuhara
,上田吉二郎,,Kichijiro Ueda
,,,
,千波丈太郎,,Jotaro Senba
,富田仲次郎,,Nakajiro Tomita
,毛利郁子,,Ikuko Mori
,寺島雄作,,Yusaku Terashima
,中田ダイマル,,Daimaru Nakata
,中田ラケット,,Raketto Nakata
,,,
,木村玄,,Gen Kimura
,沖時男,,Tokio Oki
,越川一,,Ichi Koshikawa
,石原須磨男,,Sumao Ishihara
,千石泰三,,Yuzo Sengoku
,竹谷俊彦,,Toshihiko Takeya
,大井由貴子,,Yukiko Oii
,近江輝子,,Teruko Omi
,,,
,愛原光一,,Koichi Aihara
,志賀明,,Akira Shiga
,大林一夫,,Kazuo Obayashi
,松浦豊,,Yutaka Matsuura
,二宮秀樹,,Hideki Ninomiya
,中野智永子,,Chieko Nakano
,三木本賀代,,Kayo Mikimoto
,谷口和子,,Kazuko Taniguchi
,,,
監督,安田公義,Director,Kimiyoshi Yasuda