原作,吉川英治,Original Story,Eiji Yoshikawa
,,,
製作,滝村和男,Producer,Kazuo Takimura
,,,
劇化,北條秀司,Dramatization,Hideji Hojo
脚本,若尾徳平,Screenplay,Tokuhei Wakao
,稲垣浩,,Hiroshi Inagaki
,,,
撮影,安本淳,Photography,Jun Yasumoto
美術監督,伊藤熹朔,Art Director,Kisaku Ito
美術,園真,Art,Makoto Sono
録音,三上長七郎,Sound,Choshichiro Mikami
照明,森茂,Lighting,Shigeru Mori
音楽,團伊玖磨,Music,Ikuma Dan
,,,
監督助手,福田純,Assistant Director,Jun Fukuda
編集,大井英史,Editor,Hidefumi Oi
特殊技術,東宝技術部,Special Effects,Toho Engineering Department
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,菅英久,Production Manager,Hidehisa Suga
,,,
出演者,,Performers,
,,,
武蔵,三船敏郎,Musashi,Toshiro Mifune
沢庵,尾上九朗右衛門,Takuan,Kurouemon Onoue
又八,三國連太郎,Matahachi,Rentaro Mikuni
,,,
お通,八千草薫,Otsu,Kaoru Yachigusa
お甲,水戸光子,Oko,Mitsuko Mito
朱実,岡田茉莉子,Akemi,Mariko Okada
,,,
,三好栄子,,Eiko Miyoshi
,平田昭彦,,Akihiko Hirata
,阿部九州男,,Kusuo Abe
,小杉義男,,Yoshio Kosugi
,加東大介,,Daisuke Kato
,小澤栄,,Eitaro Ozawa
観世流能楽 猩々,山階信弘,Kanzeryu Music Group,Nobuhiro Yamabe
,,,
,上山草人,,Sojin Kamiyama
,谷晃,,Akira Tani
,如月寛多,,Kanta Kisaragi
,松尾文人,,Fuminto Matsuo
,大久保正信,,Masanobu Okubo
,増田正雄,,Masuo Masuda
,桜井美智夫,,Michio Sakurai
,恩田清二郎,,Seijiro Onda
,,,
監督,稲垣浩,Director,Hiroshi Inagaki