製作,北猛夫,Producer,Takeo Kita
,,,
原案,別府啓,Story,Kei Beppu
脚本,日高繁明,Screenplay,Shigeaki Hidaka
,,,
美術,安倍輝明,Art,Teruaki Abe
録音,藤縄正一,Sound,Shoichi Fujinawa
照明,岸田九一郎,Lighting,Kuichiro Kishida
音楽,紙恭輔,Music,Kyosuke Kami
,,,
監督助手,丸輝夫,Assistant Director,Teruo Maru
編集,庵原周一,Editor,Shuichi Ihara
特殊技術,東宝技術部,Special Effects,Toho Engineering Department
現像,東宝現像所,Developing,Toho Laboratory
製作担当者,黒田達雄,Production Manager,Tatsuo Kuroda
,,,
出演者,,Performers,
,,,
,河津清三郎,,Seizaburo Kawazu
,三條美紀,,Miki Sanjo
,,,
,高田稔,,Minoru Takada
,土屋嘉男,,Yoshio Tsuchiya
,植村謙二郎,,Kenjiro Uemura
,藤原釜足,,Kamatari Fujiwara
,,,
,村上冬樹,,Fuyuki Murakami
,汐見洋,,Yo Shiomi
,沢村宗之助,,Sonosuke Sawamura
,恩田清二郎,,Seijiro Onda
,大友伸,,Shin Otomo
,重山規子 （日劇ダンシングチーム）,,Noriko Shigeyama (Japan Theater Dancing Team)
,近藤圭子 （キングレコード）,,Keiko Kondo (King Records)
,,,
,松尾文人,,Fuminto Matsuo
,中山豊,,Yutaka Nakayama
,吉田新,,Shin Yoshida
,峰三平,,Sanpei Mine
,鈴木治夫,,Haruo Suzuki
,高瀬将敏,,Masatoshi Takasa
,水野匡雄,,Tadao Mizuno
,土屋博敏,,Shiro Tsuchiya
,,,
,佐田豊,,Yutaka Sada
,中島春雄,,Haruo Nakajima
,瀬良明,,Akira Sera
,津田光男,,Mitsuo Tsuda
,吉頂寺晃,,Akira Kitchoji
,岡豊,,Yutaka Oka
,広瀬正一,,Shoichi Hirose
,堤康久,,Yasuhisa Tsutsumi
,,,
,熊谷二良,,Jiro Kumagai
,勝本圭一郎,,Keiichiro Katsumoto
,伊藤実,,Minoru Ito
,榊田敬二,,Keiji Sakakida
,森啓子,,Kyoko Mori
,東静子,,Shizuko Azuma
振付,縣洋二,Choreography,Yoji Agata
,,,
撮影/特技指導,円谷英二,Photography/Special Effects Advisor,Eiji Tsuburaya
,,,
監督,小田基義,Director,Motoyoshi Oda