企画,浅井昭三郎,Planning,Shozaburo Asai
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,浅井昭三郎,Screenplay,Shozaburo Asai
,太田昭和,,Akikazu Ota
,,,
撮影,宮川一夫,Photography,Kazuo Miyagawa
録音,大谷巌,Sound,Iwao Otani
照明,中岡源権,Lighting,Genji Nakaoka
美術,西岡善信,Art,Yoshinobu Nishioka
音楽,斎藤一郎,Music,Ichiro Saito
,,,
編集,谷口孝司,Editor,Takashi Taniguchi
装置,木村重雄,Apparatus,Shigeo Kimura
擬斗,宮内昌平,Action,Shohei Miyauchi
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,井上昭,Assistant Director,Akira Inoue
製作主任,小沢宏,Production Manager,Hiroshi Ozawa
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,島田正吾（新国劇）,,Shogo Shimada (New National Theater)
,坪内ミキ子,,Mikiko Tsubouchi
,長谷川待子,,Machiko Hasegawa
,城健三朗,,Kenzaburo Jo
,,,
,石黒達也,,Tatsuya Ishiguro
,片岡彦三郎,,Hikosaburo Kataoka
,丹羽又三郎,,Matasaburo Niwa
,北城寿太郎,,Jutaro Hojo
,浅野進治郎,,Shinjiro Asano
,伊達三郎,,Saburo Date
,天王寺虎之助,,Toranosuke Tennoji
,植村謙二郎,,Kenjiro Uemura
,,,
,水原浩一,,Koichi Mizuhara
,林寛,,Hiroshi Hayashi
,寺島雄作,,Yusaku Terashima
,高倉一郎,,Ichiro Takura
,舟木洋一,,Yoichi Funaki
,堀北幸夫,,Yukio Horikita
,岩田正,,Tadashi Iwata
,菊野昌代士,,Masanobu Kikuno
,西岡弘善,,Hiroyoshi Nishioka
,志賀明,,Akira Shiga
,藤川準,,Jun Fujikawa
,,,
,三木正八郎,,Masahachiro Miki
,森宏之,,Hiroyuki Mori
,滝のぼる,,Noboru Taki
,国枝勢津子,,Setsuko Kunieda
,美吉かほる,,Kahoru Miyoshi
,小林加奈枝,,Kanae Kobayashi
,千石泰三,,Yuzo Sengoku
,越川一,,Ichi Koshikawa
,滝川潔,,Kiyoshi Takigawa
,森田健二,,Kenji Morita
,細谷新吾,,Shingo Hosoya
,,,
監督,池広一夫,Director,Kazuo Ikehiro