製作,滝村和男,Producer,Kazuo Takimura
,,,
原作,吉川英治,Original Story,Eiji Yoshikawa
,,,
劇化,北條秀司,Dramatization,Hideji Hojo
脚本,若尾徳平,Screenplay,Tokuhei Wakao
,稲垣浩,,Hiroshi Inagaki
,,,
撮影,山田一夫,Photography,Kazuo Yamada
美術監督,伊藤熹朔,Art Director,Kisaku Ito
美術,植田寛,Art,Hiroshi Ueda
録音,宮崎正信,Sound,Masanobu Miyazaki
照明,西川鶴三,Lighting,Tsuruzo Nishikawa
音楽,團伊玖磨,Music,Ikuma Dan
,,,
監督助手,福田純,Assistant Director,Jun Fukuda
編集,岩下廣一,Editor,Koichi Iwashita
特殊技術,東宝技術部,Special Effects ,Toho Engineering Department
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,菅英久,Production Manager,Hidehisa Suga
,,,
出演者,,Performers,
,,,
,鶴田浩二,,Koji Tsuruta
,三船敏郎,,Toshiro Mifune
,,,
,八千草薫,,Kaoru Yachigusa
,瑳峨三智子,,Michiko Saga
,岡田茉莉子,,Mariko Okada
,,,
,志村喬,,Takashi Shimura
,千秋実,,Minoru Chiaki
,佐々木孝丸,,Takamaru Sasaki
,加東大介,,Daisuke Kato
,田中春男,,Haruo Tanaka
,,,
,上田吉二郎,,Kichijiro Ueda
,富田仲次郎,,Nakajiro Tomita
,高堂國典,,Kuninori Kodo
,沢村宗之助,,Sonosuke Sawamura
,山田巳之助,,Minosuke Yamada
,清川荘司 (東映),,Soji Kiyokawa (Toei)
,,,
,櫻井将紀,,Masaki Sakurai
,岡豊,,Yutaka Oka
,葉山富之輔,,Tominosuke Hayama
,音羽久米子,,Kumeko Otowa
,出雲八恵子,,Yaeko Izumo
,本間文子,,Noriko Honma
,,,
,沢村いき雄,,Ikio Sawamura
,櫻井巨郎,,Giro Sakurai
,西條悦朗,,Etsuro Saijo
,河崎竪男,,Karasaki Kawasaki
,松尾文人,,Fuminto Matsuo
,山本廉,,Ren Yamamoto
,大橋史典,,Fuminori Ohashi
,登山晴子,,Haruko Toyama
,,,
,熊谷二良,,Jiro Kumagai
,渋谷英男,,Hideo Shibuya
,手塚勝巳,,Katsumi Tezuka
,勝本圭一郎,,Keiichiro Katsumoto
,土屋博敏,,Shiro Tsuchiya
,増田正雄,,Masuo Masuda
,安芸津融,,Hiroshi Akitsu
,大村千吉,,Senkichi Omura
,,,
監督,稲垣浩,Director,Hiroshi Inagaki