製作,藤本真澄,Producer,Sanezumi Fujimoto
,田中友幸,,Tomoyuki Tanaka
,,,
脚本,八住利雄,Screenplay,Toshio Yasumi
,木村武,,Takeshi Kimura
,,,
撮影,西垣六郎,Photography,Rokuro Nishigaki
美術,北猛夫,Art,Takeo Kita
,安倍輝明,,Teruaki Abe
録音,矢野口文雄,Sound,Fumio Yanoguchi
照明,森弘充,Lighting,Hiromitsu Mori
音楽,團伊玖磨,Music,Ikuma Dan
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,田実泰良,Assistant Director,Yasuyoshi Tajitsu
編集,岩下広一,Editor,Koichi Iwashita
現像,東洋現像所,Deveoping,Toyo Laboratory
製作担当者,森本朴,Production Manager,Paku Morimoto
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
光学撮影,幸隆生,Optical Photography,Takao Miyuki
,徳政義行,,Yoshiyuki Tokumasa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
製作担当者,成田貫,Production Manager,Nuki Narita
,,,
出演者,,Performers,
,,,
,フランキー堺,,Frankie Sakai
,宝田明,,Akira Takarada
,,,
,星由里子,,Yuriko Hoshi
,乙羽信子,,Nobuko Otowa
,白川由美,,Yumi Shirakawa
,,,
,笠智衆,,Chishu Ryu
,ジェリー伊藤,,Jerry Ito
,東野英治郎,,Eijiro Tono
,山村聡,,So Yamamura
,,,
,上原謙,,Ken Uehara
,河津清三郎,,Seizaburo Kawazu
,中村伸郎,,Nobuo Nakamura
,中北千枝子,,Chieko Nakakita
,,,
,高田稔,,Minoru Takada
,石田茂樹,,Shigeki Ishida
,坂部尚子,,Naoko Sakabe
,野村浩三,,Kozo Nomura
,織田政雄,,Masao Ota
,,,
,佐田豊,,Yutaka Sada
,桐野洋雄,,Nadao Kirino
,宇野晃司,,Koji Uno
,吉田静司,,Seiji Yoshida
,古田俊彦,,Toshihiko Furuta
,森今日子,,Kyoko Mari
,三田照子,,Teruko Mita
,熊谷二良,,Jiro Kumagai
,生方壮児,,Soji Ubukata
,土屋詩朗,,Shiro Tsuchiya
,勝本圭一郎,,Keiichiro Katsumoto
,,,
,草川直也,,Naoya Kusakawa
,大前亘,,Wataru Omae
,勝部義夫,,Yoshio Katsube
,篠原正記,,Masaki Shinohara
,岡豊,,Yutaka Oka
,宇畄木耕嗣,,Koji Uruki
,阿部浩司,,Koji Abe
,富永裕子,,Yuko Tominaga
,清水由記,,Yuki Shimizu
,一万慈鶴恵,,Tazue Ichimanji
,中野トシ子,,Toshiko Nagano
,穂高あさみ,,Asami Hotaka
,,,
,ハワード・ラルソン,,Howard Larson
,エド・キーン,,Ed Keene
,ベルナール・バーレ,,Bernard Ball
,クリフォード・ハーリントン,,Clifford Harrington
,ハンク・ブラウン,,Hank Brown
,ダニエル・ジョーンズ,,Daniel Jones
,ベン・グリーンハウ,,Ben Greenhaw
,マイク・スネープ,,Mike Snep
,ロイ・レサード,,Roy Lesard
,ハンス・ホルネフ,,Hans Horneff
,ハロルド・コンウェイ,,Harold Conway
,オスマン・ユセフ,,Osman Yusef
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,松林宗恵,Director,Shue Matsubayashi