企画,財前定生,Planning,Sadao Zaizen
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,浅井昭三郎,Screenplay,Shozaburo Asai
,,,
撮影,今井ひろし,Photography,Hiroshi Imai
録音,林土太郎,Sound,Tsuchitaro Hayashi
照明,伊藤貞一,Lighting,Teiichi Ito
美術,太田誠一,Art,Seiichi Ota
音楽,大森盛太郎,Music,Seitaro Omori
,,,
編集,谷口孝司,Editor,Takashi Taniguchi
装置,吉見光男,Apparatus,Mitsuo Yoshimi
擬斗,楠本栄一,Action,Eiichi Kusumoto
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,大洲斉,Assistant Director,Masashi Osu
製作主任,小沢宏,Production Manager,Hiroshi Ozawa
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,藤山寛美（松竹新喜劇）,,Kanbi Fujiyama (Shochiku New Comedy)
,滝瑛子,,Eiko Taki
,明星雅子,,Masako Akeboshi
,,,
,石山健二郎,,Kenjiro Ishiyama
,島田竜三,,Ryuzo Shimada
,水原浩一,,Koichi Mizuhara
,守田学,,Kakuya Morita
,原田言玄,,Gen Harada
,村瀬幸子,,Sachiko Murase
,,,
,木村玄,,Gen Kimura
,森内一夫,,Kazuo Moriuchi
,沖時男,,Tokio Oki
,越川一,,Ichi Koshikawa
,堀北幸夫,,Yukio Horikita
,菊野昌代士,,Masanobu Kikuno
,志賀明,,Akira Shiga
,芝田総二,,Shinji Shibata
,南部彰三,,Shozo Nanbu
,,,
,勝村淳,,Jun Katsumura
,松田剛武,,Takeshi Matsuda
,薮内武司,,Takeshi Yabuchi
,黒木英男,,Hideo Kuroki
,伴勇太郎,,Yutaro Ban
,花村秀樹,,Hideki Hanamura
,上坊泰三,,Yuzo Shobun
,三木本賀代,,Kayo Mikimoto
,岩村百合子,,Yuriko Iwamura
,,,
監督,森一生,Director,Kazuo Mori