企画,岡田茂,Planning,Shigeru Okada
,新海竹介,,Takeshi Shinkai
脚本,伊上勝,Screenplay,Masaru Igami
,,,
撮影,わし尾元也,Photography,Motoya Washio
照明,長谷川武夫,Lighting,Takeo Hasegawa
録音,荒川輝彦,Sound,Akihiko Arakawa
美術,矢田精治,Art,Shoji Yada
音楽,津島利章,Music,Toshiaki Tsushima
編集,神田忠男,Editor,Tadao Kanda
,,,
助監督,牧口雄二,Assistant Director,Yuji Makiguchi
記録,矢部はつ子,Archiving,Hatsuko Yabe
装置,米沢勝,Apparatus,Masaru Yonezawa
装飾,山田久司,Decoration,Hisashi Yamada
美粧,堤野正直,Beauty,Shojiki Tsutsumino
結髪,橋本明子,Hair Dressing,Akiko Hashimoto
衣裳,三上剛,Costume,Go Mikami
擬斗,上野隆三,Action,Ryuzo Ueno
合成,松木春吉,Synthesis,Haruyoshi Matsuki
進行主任,並河正夫,Production Manager,Masao Naimikawa
,,,
特殊撮影,,Special Photography,
撮影,赤塚滋,Photography,Shigeru Akatsuka
,国定玖仁男,,Toshiki Kunishige
照明,金子凱美,Lighting,Kanemi Kaneko
助監督,俵坂昭康,Assistant Director,Akiyasu Tawarazaka
記録,塚越恵江,Archiving,Keiji Tsukagoshi
主題歌,朝日ソノラマ,Theme Song,Asahi Sonorama
作詞,伊上勝,Lyrics,Masaru Igami
作曲,津島利章,Composition,Toshiaki Tsushima
,,,
出演者,,Performers,
,,,
,松方弘樹,,Hiroki Matsukata
,,,
,小川知子,,Tomoko Kagawa
,鈴村由美,,Yumi Suzumura
,,,
,金子信雄,,Nobuo Kaneko
,林真一郎,,Shinichiro Hayashi
,天津敏,,Bin Amatsu
,,,
,柿本健二,,Kenji Kusumoto
,小田部通麿,,Michimaro Otabe
,原泉,,Izumi Hara
,国一太郎,,Ichitaro Kuni
,原健策,,Kensaku Hara
,,,
,河村満和,,Masakazu Kawamura
,千葉敏郎,,Toshio Chiba
,池田謙治,,Kenji Ikeda
,岡田千代,,Chiyo Okada
,矢部義明,,Yoshiaki Yabe
,岩尾正隆,,Masataka Iwao
,宍戸大全,,Daizen Shishido
,,,
,木谷邦臣,,Kuniomi Kiya
,福本清三,,Seizo Fujimoto
,出口静広,,Shizuhiro Deguchi
,小林成行,,Nariyuki Kobayashi
,森本隆,,Takashi Morimoto
,近松克樹,,Katsuki Chikamatsu
,大矢正利,,Masatoshi Oya
,,,
,大友柳太朗,,Ryutaro Otomo
,,,
監督,山内鉄也,Director,Tetsuya Yamanouchi