製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,馬淵薫,Screenplay,Kaoru Mabuchi
,坂野義光,,Yoshimitsu Banno
,,,
撮影,真野田陽一,Photography,Yoichi Manoda
美術,井上泰幸,Art,Yasuyuki Inoue
録音,藤好昌生,Sound,Masao Fujiyoshi
照明,原文良,Lighting,Funyoshi Hara
音楽,真鍋理一郎,Music,Riichiro Manabe
整音,東宝録音センター,Dubbing,Toho Sound Center
,,,
特殊技術,中野昭慶,Special Effects,Teruyoshi Nakano
操演,小川昭二,Physical Effects,Shoji Ogawa
光学撮影,徳政義行,Optical Photography,Yoshiyuki Tokumasa
合成,土井三郎,Synthesis,Saburo Doi
,,,
監督助手,津島平吉,Assistant Director,Heikichi Tsushima
編集,黒岩義民,Editor,Yoshitami Kuroiwa
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,森本朴,Production Manager,Paku Morimoto
,,,
出演者,,Performers,
,,,
,山内明,,Akira Yamauchi
,川瀬裕之,,Hiroyuki Kawase
,木村俊恵,,Toshie Kimura
,,,
,麻里圭子（ビクター）,,Keiko Mari (Victor)
,柴本俊夫,,Toshio Shibamoto
,吉田義夫,,Yoshio Yoshida
,中山剣吾,,Kengo Nakayama
,中島春雄,,Haruo Nakajima
,,,
,鈴木治夫,,Haruo Suzuki
,勝部義夫,,Yoshio Katsube
,岡部正,,Tadashi Okabe
,小川安三,,Yasuzo Ogawa
,大前亘,,Wataru Omae
,,,
,小松英三郎,,Eizaburo Komatsu
,宇留木康二,,Koji Uruki
,由起卓也,,Takuya Yuki
,権藤幸彦,,Yukihiko Gondo
,中沢治夫,,Haruo Nakazawa
,渡辺謙太郎,,Kentaro Watanabe
,岡部達,,Tatsu Okabe
,,,
監督,坂野義光,Director,Yoshimitsu Banno