企画,高森富夫,Planning,Tomio Takamori
,財前定生,,Sadao Zaizen
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,星川清司,Screenplay,Seiji Hoshikawa
,吉田哲郎,,Tetsuro Yoshida
,松村正温,,Masaatsu Matsumura
,,,
撮影,牧浦地志,Photography,Chikashi Makiura
録音,大谷巌,Sound,Iwao Otani
照明,山下礼二郎,Lighting,Reijiro Yamashita
美術,内藤昭,Art,Akira Naito
音楽,伊福部昭,Music,Akira Ifukube
,,,
編集,菅沼完二,Editor,Kanji Suganuma
装置,伊藤万次郎,Apparatus,Manjiro Ito
擬斗,宮内昌平,Action,Shohei Miyauchi
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,友枝稔議,Assistant Director,Minoru Tomoeda
製作主任,今村喬,Production Manager,Takashi Imamura
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,高千穂ひづる,,Hizuru Takachiho
,金子信雄,,Nobuo Kaneko
,加藤嘉,,Yoshi Kato
,石黒達也,,Tatsuya Ishiguro
,,,
,北城寿太郎,,Jutaro Hojo
,藤山浩二,,Koji Fujiyama
,天王寺虎之助,,Toranosuke Tennoji
,毛利郁子,,Ikuko Mori
,川口のぶ,,Nobu Kawaguchi
,近江輝子,,Teruko Omi
,,,
,伊達三郎,,Saburo Date
,南條新太郎,,Shintaro Nanjo
,浅尾奥山,,Okayama Asao
,南部彰三,,Shozo Nanbu
,橋本力,,Chikara Hashimoto
,石原須磨男,,Sumao Ishihara
,木村玄,,Gen Kimura
,杉山昌三九,,Shosaku Sugiyama
,,,
,玉置一恵,,Kazue Tamaki
,沖時男,,Tokio Oki
,堀北幸夫,,Yukio Horikita
,越川一,,Ichi Koshikawa
,山岡鋭二郎,,Eijiro Yamaoka
,千石泰三,,Yuzo Sengoku
,愛原光一,,Koichi Aihara
,黒木英男,,Hideo Kuroki
,原田清子,,Kiyoko Harada
,藤川準,,Jun Fujikawa
,,,
監督,三隅研次,Director,Kenji Misumi